source_path,file_name,size_bytes,sha256,role_or_decision,included_in_package,package_path,notes
/Users/dlev2617/Documents/Papers/~05-Published/ASCE - Journal of Transportation Engineering/ASCE-Speed/doc-speed.pdf,doc-speed.pdf,139716,7764dbdfcdab9a5bf1dfeec8fce481454895bafc27bad628d52dbfa461aadb03,excluded_nonarchival_or_not_needed,no,,"Excluded: correspondence, manuscript/draft/reference/figure support, or not needed for data recovery."
/Users/dlev2617/Documents/Papers/~05-Published/ASCE - Journal of Transportation Engineering/ASCE-Speed/Image110.gif,Image110.gif,845,b6f04a275691871193c441516f8bdaa7d9d5ddf1e261b6533e50e82f31a9ecbc,excluded_nonarchival_or_not_needed,no,,"Excluded: correspondence, manuscript/draft/reference/figure support, or not needed for data recovery."
/Users/dlev2617/Documents/Papers/~05-Published/ASCE - Journal of Transportation Engineering/ASCE-Speed/Image111.gif,Image111.gif,826,d8f386f6918214361d8abf827d0a66437542c15420ca5c9f748356218920dba8,excluded_nonarchival_or_not_needed,no,,"Excluded: correspondence, manuscript/draft/reference/figure support, or not needed for data recovery."
/Users/dlev2617/Documents/Papers/~05-Published/ASCE - Journal of Transportation Engineering/ASCE-Speed/Image112.gif,Image112.gif,3527,821f27c5f90b042bca4d5bed454c8707e94ba265795f8635f6a02285ac5088a7,excluded_nonarchival_or_not_needed,no,,"Excluded: correspondence, manuscript/draft/reference/figure support, or not needed for data recovery."
/Users/dlev2617/Documents/Papers/~05-Published/ASCE - Journal of Transportation Engineering/ASCE-Speed/Image113.gif,Image113.gif,4561,30090099090c34f29d8a1aee134809eef0a416bec0f2e45e9bc94b0e127f5b1f,excluded_nonarchival_or_not_needed,no,,"Excluded: correspondence, manuscript/draft/reference/figure support, or not needed for data recovery."
/Users/dlev2617/Documents/Papers/~05-Published/ASCE - Journal of Transportation Engineering/ASCE-Speed/letter.ASCE,letter.ASCE,6656,4aed8abc4b13d135bd48ee2791442968884e55af3b34be0a052e7076ef5c73ac,excluded_nonarchival_or_not_needed,no,,"Excluded: correspondence, manuscript/draft/reference/figure support, or not needed for data recovery."
/Users/dlev2617/Documents/Papers/~05-Published/ASCE - Journal of Transportation Engineering/ASCE-Speed/letter.TRF,letter.TRF,6656,c2650288284c71c5511311d9eb9305eebb92c3e2c44e6e063605d7cdb94dc4a6,excluded_nonarchival_or_not_needed,no,,"Excluded: correspondence, manuscript/draft/reference/figure support, or not needed for data recovery."
/Users/dlev2617/Documents/Papers/~05-Published/ASCE - Journal of Transportation Engineering/ASCE-Speed/letter2.ASCE,letter2.ASCE,6656,bd537a011d2659931a4532f5e6f1c68c8e38e65edae8f51f2eb220b7f09cc8d5,excluded_nonarchival_or_not_needed,no,,"Excluded: correspondence, manuscript/draft/reference/figure support, or not needed for data recovery."
/Users/dlev2617/Documents/Papers/~05-Published/ASCE - Journal of Transportation Engineering/ASCE-Speed/letter3.ASCE,letter3.ASCE,6656,8e3b52cc7b4087b4e59379633aa5036b4a9b6fcbea1f6fb8c4dc78aecff51857,excluded_nonarchival_or_not_needed,no,,"Excluded: correspondence, manuscript/draft/reference/figure support, or not needed for data recovery."
/Users/dlev2617/Documents/Papers/~05-Published/ASCE - Journal of Transportation Engineering/ASCE-Speed/letter4.ASCE,letter4.ASCE,12800,610d67237311045ef5e8acc97fc49b066cc3cd96f271ab1c35dcbaa9e15bb6c2,excluded_nonarchival_or_not_needed,no,,"Excluded: correspondence, manuscript/draft/reference/figure support, or not needed for data recovery."
